,Trans_Freq_Per_Year,Utilization_High,Customer_Age,Drop_Activity,Revolving_Ratio,Churn
0,0.9333333333333333,0,45,0,0.06129845572013867,0
1,0.673469387755102,0,49,0,0.10475959791691898,0
2,0.39215686274509803,0,51,0,0.0002924831822170225,0
3,0.5,1,40,0,0.75980687990344,0
4,0.7,0,40,0,0.00021199915200339198,0
5,0.5454545454545454,0,44,0,0.31114435302916976,0
6,0.6078431372549019,0,51,0,0.06561983949937712,0
7,1.125,0,32,0,0.04803658620452514,0
8,0.6486486486486487,0,37,0,0.11264707198138953,0
9,0.6666666666666666,0,48,0,0.14394784249806983,0
10,1.0,0,42,0,0.21751370573418286,0
11,0.4,0,65,0,0.17458223394898856,0
12,0.30357142857142855,0,56,0,8.509189925119128e-05,0
13,0.9428571428571428,0,35,0,0.1950163781001404,0
14,0.5087719298245614,0,57,0,0.27944193680755025,0
15,0.6136363636363636,0,44,0,0.22975206611570248,0
16,0.5625,0,48,0,0.07781217070600632,0
17,0.5121951219512195,0,41,0,0.09544917257683215,0
18,0.4918032786885246,1,61,0,0.7883531621790858,0
19,0.4666666666666667,0,45,0,0.08002211319190104,0
20,0.574468085106383,0,47,0,0.08584366062917063,0
21,0.25806451612903225,0,62,0,0.0006947821857847565,1
22,0.43902439024390244,0,41,0,0.15231491836278238,0
23,0.48936170212765956,1,47,1,0.6261532290413157,0
24,0.3888888888888889,0,54,0,8.18464560484531e-05,0
25,0.5365853658536586,0,41,0,0.21495687990732398,0
26,0.3898305084745763,0,59,0,0.09299966181941156,0
27,0.6349206349206349,0,63,0,0.09896241190289741,0
28,0.4090909090909091,0,44,0,9.9000099000099e-05,0
29,0.8085106382978723,0,47,0,0.28478896782281654,0
30,0.4716981132075472,1,53,0,0.6579520697167756,0
31,0.49056603773584906,1,53,0,0.6896411092985318,0
32,0.5853658536585366,0,41,0,0.28216046615867324,0
33,0.5283018867924528,1,53,0,0.5624292719728404,0
34,0.41379310344827586,0,58,0,0.13515450780503346,0
35,0.7818181818181819,1,55,1,0.5438795796648679,0
36,0.6727272727272727,1,55,0,0.7572463768115942,0
37,0.5238095238095238,0,42,0,6.47920176234288e-05,0
38,0.49122807017543857,0,57,0,0.24149196841818676,0
39,0.24242424242424243,0,66,1,0.0768742864391729,1
40,0.6222222222222222,0,45,1,0.017855490794708113,0
41,0.5490196078431373,0,51,0,0.35530132130196584,0
42,0.66,0,50,0,0.1455070788789367,0
43,0.6530612244897959,0,49,0,0.0002559508574353724,0
44,0.6052631578947368,0,38,0,0.2091343708676635,0
45,0.5714285714285714,0,49,0,2.8971231567053914e-05,0
46,0.48214285714285715,1,56,0,0.6265323992994746,0
47,0.4576271186440678,1,59,0,0.7928599450765006,0
48,0.5869565217391305,0,46,0,0.07379618685441185,0
49,0.7692307692307693,0,52,0,0.2587442056468605,0
50,0.5769230769230769,1,52,0,0.5909264201296226,0
51,0.35185185185185186,1,54,0,0.562078788299868,1
52,0.5757575757575758,1,66,0,0.6872635561160151,0
53,0.7142857142857143,0,49,1,0.12740335964379682,0
54,0.26785714285714285,0,56,1,6.341154090044388e-05,1
55,0.6530612244897959,1,49,0,0.6671718702637163,0
56,0.8163265306122449,1,49,0,0.8433820906171958,0
57,0.5178571428571429,0,56,0,0.42184346265978917,0
58,0.5681818181818182,0,44,0,0.15604080331526937,0
59,0.6428571428571429,1,42,0,0.5256218160023973,0
60,0.6,1,55,0,0.5868489962176316,0
61,0.3125,0,48,0,2.8971231567053914e-05,1
62,0.717948717948718,0,39,0,0.2112367133457061,0
63,0.5909090909090909,0,44,0,0.08777861257200101,0
64,0.4339622641509434,0,53,0,0.11096029860875467,0
65,0.6274509803921569,0,51,0,0.04392038705565374,0
66,0.6140350877192983,0,57,0,0.27608200455580867,0
67,0.6363636363636364,1,44,0,0.7045563549160672,0
68,0.3469387755102041,1,49,0,0.6563981042654028,0
69,0.3,0,50,0,0.05260661633927513,0
70,0.803921568627451,0,51,0,0.051105252484283104,0
71,0.6545454545454545,0,55,1,0.4668470906630582,0
72,0.3888888888888889,1,54,1,0.6976983854345585,0
73,0.8333333333333334,0,42,0,0.0667277646853452,0
74,0.5454545454545454,0,44,0,0.07950479167523547,0
75,0.6226415094339622,0,53,1,0.28750237056703964,0
76,0.5227272727272727,0,44,0,0.35966290529924294,0
77,1.5405405405405406,0,37,0,0.25600227305014917,0
78,0.46938775510204084,1,49,1,0.7189594008671659,0
79,0.7446808510638298,0,47,1,0.06573257221933922,0
80,0.8723404255319149,0,47,0,0.19794584500466852,0
81,0.6590909090909091,0,44,0,0.04444186922386071,0
82,0.21818181818181817,0,55,0,0.0004631773969430292,1
83,0.3389830508474576,0,59,0,0.13992500493388593,0
84,0.5094339622641509,0,53,0,0.035344902511805776,0
85,0.6730769230769231,1,52,0,0.6192482177576151,0
86,0.5849056603773585,0,53,0,0.10803004043905257,0
87,0.7441860465116279,0,43,0,0.00024832381425378696,0
88,0.3181818181818182,0,44,0,0.06568942541349847,0
89,0.5087719298245614,0,57,0,0.00018986140117714068,0
90,0.4117647058823529,0,51,0,0.0001006947940791461,0
91,0.7142857142857143,0,49,0,0.06242213206401942,0
92,0.7555555555555555,0,45,0,0.0001520450053215752,0
93,0.5471698113207547,1,53,0,0.7647279549718574,0
94,0.4444444444444444,1,45,0,0.9625394321766562,0
95,0.5,1,64,0,0.5239766081871345,0
96,0.6666666666666666,0,45,1,0.3476121562952243,0
97,0.7924528301886793,0,53,0,0.4503957783641161,0
98,0.3392857142857143,0,56,0,0.2323013415892673,0
99,0.3829787234042553,0,47,1,0.2988990825688073,1
100,0.4489795918367347,0,49,0,0.0851387140190162,0
101,0.6341463414634146,0,41,0,0.05950690963872874,0
102,0.6226415094339622,0,53,0,0.4301258075484529,0
103,0.3409090909090909,1,44,0,0.6200527704485488,0
104,0.7727272727272727,0,44,0,0.0005367686527106817,0
105,0.8604651162790697,0,43,0,0.11089843282689317,0
106,0.39622641509433965,0,53,0,0.02700118782049425,0
107,0.6818181818181818,0,44,0,0.16891564597605702,0
108,0.7096774193548387,0,62,0,0.0006947821857847565,0
109,0.5740740740740741,0,54,0,0.05803148674242424,0
110,0.5614035087719298,0,57,1,0.22286524152592418,0
111,0.5,0,42,0,0.057392802703956525,0
112,0.8333333333333334,1,42,1,0.5131740196078431,0
113,0.4444444444444444,0,54,0,0.4729096989966555,0
114,0.7708333333333334,0,48,0,0.09555785123966942,0
115,0.3673469387755102,0,49,0,0.04744003812145921,0
116,0.6923076923076923,0,52,0,0.10637054354178843,0
117,0.5,0,50,0,0.15654791771199197,0
118,0.4897959183673469,0,49,0,0.049544701986754966,0
119,0.7169811320754716,0,53,0,0.35465224687674807,0
120,0.26,0,50,0,0.029666541124663208,0
121,0.5272727272727272,1,55,0,0.6148031496062992,0
122,0.7169811320754716,0,53,0,0.14980021201989724,0
123,1.0,0,47,1,0.406703615729744,0
124,0.7636363636363637,0,55,1,0.044268041834458385,0
125,0.5106382978723404,0,47,0,0.00034164673727365904,0
126,0.5172413793103449,0,58,1,3.116138481194104e-05,0
127,0.4339622641509434,0,53,1,0.19091688089117395,1
128,0.5576923076923077,0,52,0,0.09613537279243331,0
129,0.6,0,50,0,0.17587686096391622,0
130,0.38095238095238093,1,42,0,0.8295739348370927,0
131,0.37209302325581395,0,43,0,0.4119764397905759,0
132,0.49122807017543857,0,57,0,0.08629546987701728,0
133,0.6538461538461539,1,52,0,0.6785233090811102,0
